"","Blood1SS2","Blood1SS3","Blood1SS4","Blood1SS5","Blood1SS6","Blood2SS2","Blood2SS3","Blood2SS4","Blood2SS5","Blood2SS6","Blood3SS5","Blood3SS6"
"(Z)-3-Heptene",0,0,0,0,0,0,9.00093223395,0,0,0,0,0
"1-(2,2-Dimethylpropyl)-1,2,3,4-tetrahydroisoquinoline",0,0,0,0,0,0,0,0,0,1.3322512755,0,0
"1-Butanamine",0,0,0,0,0.4024796511,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0.56338391515,0,0,0.0250599337666667,0.32329862875,0.01497802115,0,0,0,0,0.0682565053333333,0.569001985333333
"1-Butene, 3-methyl-",0,0,0,0,0.5192404209,0,0,0,0,0,0,0
"1-Decanol, 2-ethyl-",0.1847177542,0,0,0,0,0,0.0153598608,0,0,0,0,0
"1-Decene",0,0,0,0,0.02370316025,0,0,0,0,0,0,0
"1-Ethyl-3-methylcyclohexane (c,t)",0,0,0,0,0,0,0,0,0,0,0.00872379466666667,0
"1-Ethylcyclopentene",0,0,0,0,0,0,0.0315389806,0,0,0,0,0
"1-Heptanol",0.47823539335,0,0,0,0,0,0,0,0.00499671063333333,0,0,0
"1-Heptanol, 2-propyl-",0,0,0,0,0,0,0.01069495695,0,0,0,0,0
"1-Hepten-3-one",0.0227733909,0,0,0,0,0,0,0,0,0,0,0
"1-Heptene",0.05161290955,0,0.0279815125,0,0,0,0,0,0,0,0,0
"1-Heptene, 3-methyl-",0,0,0,0,0,0,0,0,0,0.0825344625,0,0
"1-Hexanol",0.05653681995,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 2-ethyl-",0.7402027838,0,0,0,0,0,0,0,0,0,0,0
"1-Hexene",0.04385207435,0,0,0,0,0,0,0,0,0,0,0
"1-Methyl-2-methylenecyclohexane",0.0381178467,0,0,0,0,0,0,0,0,0,0,0
"1-Methylbicyclo(4.4.0)decane(trans)",0,0,0,0.00585920763333333,0,0,0,0,0.0301167242,0,0.042472702,0
"1-Naphthalenol",0,0,0,0,0,0,0,0,0,0.0352769535,0,0
"1-Nonanol",4.3853080517,0,0,0,0,0,0,0,0,0.268456965,0,0
"1-Nonylcycloheptane",0,0.139949729,0,0,0,0,0.20650835415,0,0,0,0,0
"1-Octanol",0.00922305485,0,0,0,0,0,0,0,0,0,0,0
"1-Octanol, 2-butyl-",0,0,0,0,0,0,0,0,0,0,0.0101236593333333,0
"1-Octen-3-ol",0.07377407035,0,0,0,0,0,0,0,0,0,0,0
"1-Octene",0.57187500425,0,0,0,0.10171861605,0.3791867409,0,0,0,0,0,0
"1-Pentanol, 2,2,3,3,4,4,5,5-octafluoro-",0,0,0,0,0.1000758668,0,0,0,0,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0,0,0,0,0,0.1839187385,0,0
"1-Propanol",0,0,0,0,0,0.02056973815,0,0,0,0,0,0
"1-Propen-2-ol, acetate",0,0,0,0,0,0,0,0,0,0.0066521955,0,0
"1-Propen-2-ol, formate",0,0,0,0.325280212933333,0,0,0,0,0,0,0,0
"1-Propene, 2-methoxy-",0,0,0,0.0421667406,0,0,0,0,0.0278121991,0,0,0
"1,1-Dichloro-1-fluoroethane",0,0,0,0,0.10558315085,0,0,0,0,0,0,0
"1,1,1-Trifluoro-2-propanol",0.0467337058,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 2,2'-diethyl-",0,0,0,0,0,0.03782859895,0,0,0,0,0,0
"1,1'-Biphenyl, 2,2',5,5'-tetramethyl-",0.00238145805,0.029219297,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 4,4'-difluoro-",0,0,0,0,0.13105946205,0,0,0,0,0,0,0
