"","Bone1SS2","Bone1SS3","Bone1SS4","Bone1SS5","Bone1SS6","Bone2SS2","Bone2SS3","Bone2SS4","Bone2SS5","Bone2SS6","Bone3SS5","Bone3SS6","Bone4SS4","Bone4SS5","Bone4SS6","Bone5SS4","Bone5SS5","Bone5SS6","Bone6SS5","Bone6SS6","Bone7SS5","Bone7SS6"
"(Methylthio)-acetonitrile",0,0,0,0,0,0,0,0,0,0,0,0,0.00087221515,0,0,0,0,0,0,0,0,0
"(R*,S*)-5-Hydroxy-4-methyl-3-heptanone",0,0,0,0,0,0,0,0,0,0,0.0757914774,0,0,0,0,0,0,0,0,0,0,0
"(S)-5-Hydroxymethyl-2[5H]-furanone",0,0,0,0,0,0,0,0,0,0.0052790768,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-2-Heptene",0,0,0,0,0,0,0,0,0,0,0.0171302479,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 2-methyl-",0,0.1164401744,0,0,0,0,0.0467177966666667,0,0,0.11595963875,0,0,0,0.0662706328,0,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0.05850350615,0,0,0.331284906333333,0.33998744235,0.0360599275,0,0.037936076,0.0927872725,0,0.0091889773,0.147611724333333,0.03768024945,0.102391551433333,0,0.0745050582666667,0,0,0.0140869066333333,0,0,0
"1-Butanol, 3-methyl-, acetate",0,0,0,0.0060792418,0,0.0264081317,0,0,0.0307162512,0.0352802434,0.00941745225,0,0.003366393,0.0182802613,0.013554956,0,0,0,0,0,0,0
"1-Butene",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786714940666667,0,0,0,0,0,0,0,0
"1-Butene, 3-methyl-",0,0,0,0,0,0,0,0,0,0.14630323575,0,0,0,0,0.3587210695,0,0,0.306644425,0,0.038511519,0,0
"1-Decanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221123395333333,0,0,0,0,0
"1-Decanol, 2-hexyl-",0,0,0,0,0,0,0.0698333183333333,0,0,0,0,0,0.01116059955,0,0,0,0.0685082613333333,0,0,0,0.0581822438,0
"1-Decene, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0.722872707666667,0,0,0,0,0,0,0,0,0,0
"1-Dodecanol",0,0,0,0,0,0,0.013158329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Dodecanol, 3,7,11-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253721515,0,0,0,0,0,0,0
"1-Heptanol",0,0,0,0.0029641216,0.00585646315,0,0,0.00152663883333333,0.00708355736666667,0,0,0,0.0066275558,0,0,0.00921340946666667,0,0.00617982666666667,0,0,0,0
"1-Hepten-3-one",0,0,0,0,0,0,0,0,0,0,0.0045317019,0,0,0,0,0,0,0,0,0,0,0
"1-Heptene",0,0,0,0,0,0,0,0,0,0.15048891105,0,0,0,0,0,0,0,0,0,0,0,0
