"","FootR_SS3","FootR_SS4","FootR_SS6"
"1-Ethylcyclopentene",0,0,0.003553858
"1-Heptanamine",0.00407971833333333,0,0
"1-Hexene, 5-methyl-",0.00816561,0,0
"1-Methyl-3-butenyl 3-methyl-3-hydroxybutyl ether",0,0.01055848685,0
"1-Octen-3-ol",0,0.01303215835,0
"1-Octene, 3,7-dimethyl-",0.00646454766666667,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0,0.02244084125,0
"1,3-Cyclohexadiene, 1,3,5,5,6,6-hexamethyl-",0,0.00245616825,0
"1,3,6-Trioxocane, 2-methyl-",0.0158494313333333,0,0
"1,3,8-p-Menthatriene",0,0,0.011203826
"1,5-Octadiene, 3,3,4,4,7,7,8,8,8-nonafluoro-",0,0.00705927665,0
"1H-Indene, 2,3-dihydro-4-methyl-",0,0,0.003041029
"1H-Pyrrole, 1-methyl-",0,0,0.0095504765
"1H-Pyrrole, 2-methyl-",0,0.0038588344,0
"1H-Pyrrole, 2,5-dihydro-",0,0.01740255955,0
"1H,1H,2H-Perfluoro-1-octene",0,0,0.0113209665
"2-Octanone",0.018895936,0,0
"2-Pentene",0,0,0.040481796
"2-Piperidinone, N-[4-bromo-n-butyl]-",0,0.00363771035,0
"2-Propanamine",0.0192161823333333,0,0
"2-Propen-1-ol",0.005063911,0,0
"2,2'-Difluorobiphenyl",0,0.00047012915,0
"2,3,4,5-Tetrafluorobenzyl alcohol, 1-methylpropyl ether",0,0,0.0056577355
"3-Aminopropionitrile",0,0,0.011805581
"3-Heptanone",0,0,0.0218985495
"3-Heptene, 3-methyl-",0.0616973743333333,0,0
"3-Hexene",0,0,0.006666308
"3-Trifluoroacetoxydodecane",0,0.0005254381,0
"3,5-Difluorobenzaldehyde",0,0,0.0361820525
"3,5-Dithiahexanol 5,5-dioxide",0,0.0102222155,0
"4-Nonene",0,0,0.005095554
"Acetonitrile, (dimethylamino)-",0,0.00080671925,0
"Benzene, (1-butyloctyl)-",0,0,0.006281041
"Benzene, [1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-",0,0,0.002152571
"Benzene, 1-fluoro-4-(trifluoromethyl)-",0,0.00151519945,0
"Benzene, 1,2-dichloro-",0,0.00422334555,0
"Benzene, 2-ethyl-1,3-dimethyl-",0,0.00111126935,0
"Benzene, chloro-",0,0,0.1711868065
"Benzyl alcohol",0,0,0.0051609495
"Bicyclo[2.2.1]heptan-2-one, 1,7,7-trimethyl-, (1S)-",0.00411458633333333,0,0
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0.00775074666666667,0,0
"Camphene",0.00518541166666667,0,0
"Carbonic acid, tridecyl vinyl ester",0,0.0072767889,0
"Cyclohexane, methylene-",0.00336775933333333,0,0
"Cyclohexene",0,0,0.017163254
"Cyclooctane, methyl-",0,0,0.002246156
"Cyclopentene, 1-methyl-",0,0,0.008388484
"Decane, 2,5-dimethyl-",0,0.0024783461,0
"Diethyltoluamide",0.119791534,0,0
"Disulfide, dimethyl",0.00903529566666667,0,0
"Eicosane",0.00835346166666667,0,0
"Ethanamine, N,N-difluoro-",0,0.00964528145,0
"Ethane, 1,2-dichloro-",0.00343091633333333,0,0
"Ethanol, 2-(methylamino)-",0.328066782333333,0,0
"Ethanol, 2,2'-oxybis-",0,0.0161714754,0
"Ethanone, 1-(2,3-dihydro-1,4-benzodioxin-6-yl)-",0,0.000482218,0
"Ethyl Acetate",0,0,0.0744980845
"Formaldehyde",0.535573664,0,0
"Furan, 2-pentyl-",0.0173113303333333,0,0
"Heptane",0,0,0.076973621
"Heptane, hexadecafluoro-",0,0,0.0068596715
"Hexane, 2,3-dimethyl-",0,0,0.0067655575
"Hexane, tetradecafluoro-",0,0.00700909305,0
"Isobutyronitrile",0,0,0.0162869925
"L-Alanine, 3-sulfo-",0,0.37598662095,0
"Methane, isothiocyanato-",0.00357455,0,0
"Methane, nitro-",0,0.00093752085,0
"N-Methyltaurine",0,0,0.0322996365
"Nonanoic acid",0,0.01314898465,0
"o-Xylene",0,0,0.0471835965
"Octane, 2-methyl-",0,0,0.008975521
"Octodrine",0,0,0.031747192
"p-Cresol",0,0.00131768425,0
"Pentanal, 2,4-dimethyl-",0,0,0.0051298855
"Pentane, 2,2,4-trimethyl-",0.0144939356666667,0,0
"Pentane, 2,3-dimethyl-",0,0.0060457354,0.007328251
"Pentane, 2,3,3-trimethyl-",0,0,0.008005414
"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",0,0.00868537315,0
"Phenol",0.129563147666667,0,0
"Phenol, 4-(1-methylpropyl)-",0,0.0005205527,0
"Phthalic acid, 2-isopropylphenyl methyl ester",0,0.00312403635,0
"Phthalic acid, methyl 4-(2-phenylprop-2-yl)phenyl ester",0,0.0018910316,0
"Propane, 1,1,2,2-tetrafluoro-",0,0.0041807137,0.0074387245
"Pyrazine, 2,5-dimethyl-",0,0.0033151572,0
"Spiro[bicyclo[2.2.1]heptane-2,2'-[1,3]dioxolane]-3-one, 1,7,7-trimethyl-",0,0.0032986949,0
"Sulfur dioxide",0,0.2383464661,0
"Thiazole",0.00477652266666667,0,0
"Thiocyanic acid, methyl ester",0.00367994833333333,0.0006703069,0
"Trichloromethane",0,0,0.0107845345
"Trichloromonofluoromethane",0,0,0.113350532
"α-Pinene",0.00909341266666667,0,0
"α,α,α,2,3,5,6-Heptafluoro-p-xylene",0,0,0.00191461
