"","foot1_SS2","foot1_SS3","foot1_SS4","foot1_SS5","foot1_SS6","foot2_SS2","foot2_SS3","foot2_SS4","foot2_SS5","foot2_SS6","foot3_SS5","foot3_SS6","foot4_SS5","foot4_SS6","foot5_SS2","foot5_SS3","foot5_SS4","foot5_SS5","foot5_SS6","foot6_SS5","foot6_SS6","foot7_SS5","foot7_SS6","foot8_SS4","foot8_SS5","foot8_SS6","foot9_SS4","foot9_SS5","foot9_SS6"
"(+)-Dibenzoyl-L-tartaric acid anhydride",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003000868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1R,2R,4S)-2-(6-Chloropyridin-3-yl)-7-methyl-7-azabicyclo[2.2.1]heptane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041232603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1R,4aS,8aR)-1-Isopropyl-4,7-dimethyl-1,2,4a,5,6,8a-hexahydronaphthalene",0,0,0,0,0,0,0.0134745944333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(2-Aziridinylethyl)amine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.317831732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(5S,8aS)-8-Methyl-5-((Z)-non-6-en-8-yn-1-yl)octahydroindolizine",0,0,0,0,0,0,0,0,0,0,0,0,0.0106138228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058005258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Methylthio)-acetonitrile",0,0,0,0,0,0.00076343605,0,0,0.00328085566666667,0.00431127895,0,0,0,0,0,0,0,0,0.00439606375,0,0,0,0,0,0,0,0,0,0
"(R)-(-)-2-Pentanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047670896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-(-)-3-Methyl-2-butanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690351883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(S)-(+)-1,2-Propanediol",0,0,0,0,0,0.0175506767,0,0,0,0.0345485723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-2-Heptene",0,0,0,0,0.0262407826,0,0,0,0.0189445973333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-Tetradec-11-en-1-yl 2,2,2-trifluoroacetate",0,0,0,0.1713815253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-Undec-6-en-2-one",0,0,0,0,0,0.0114887744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(2,2-Dimethylpropyl)-1,2,3,4-tetrahydroisoquinoline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.027988454,0,0,0
"1-Adamantanecarboxylic acid chloride",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578279753333333,0,0,0,0,0,0,0
"1-Bromo-3-butene-2-ol",0,0.148291276333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanamine, N,N-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617495333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
