"","Teeth1SS2","Teeth1SS3","Teeth1SS4"
"1-Butene, 1-methoxy-",0.02828861115,0,0
"1-Heptanol",0.00213984805,0,0
"1-Methyl-2-n-hexylbenzene",0.0023703298,0,0
"1-Methylbicyclo(4.4.0)decane(trans)",0.01431516445,0,0
"1-Nonanol",0.00335101585,0,0
"1-Nonylcycloheptane",0.0046478569,0,0
"1-Pentanol, 2-ethyl-4-methyl-",0,0,0.029823363
"1-Penten-3-ol",0.00491698415,0,0
"1-Propanol",0.2561007921,0,0
"1-Propene, 2-methoxy-",0.41065091905,0,0
"1-Propylcyclopentene",0,0.0053911313,0
"1,1-Diphenyl-2-propanol",0.0086822317,0,0
"1,1'-Biphenyl, 2-methyl-",0.0042835245,0.00853239566666667,0
"1,1'-Biphenyl, 2,2'-diethyl-",0.00726108815,0,0
"1,1'-Biphenyl, 2,2',5,5'-tetramethyl-",0,0.0113297920333333,0
"1,1'-Biphenyl, 4-methyl-",0.01102657735,0,0
"1,1'-Biphenyl, 4,4'-difluoro-",0.00183138435,0,0
"1,2-Dipropylcyclopropene",0,0.0175177507333333,0
"1,3-Cyclopentadiene",0,0.00946898783333333,0
"1,3-Propanediol, diacetate",0,0.0332896648666667,0
"1,4-Dioxane, 2,5-dimethyl-",0,0.0104850213,0
"1,5-Hexadiene, 3,3,4,4-tetrafluoro-",0.0039324409,0,0
"1H-1,2,4-Triazole",0.0256958544,0,0
"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",0.00438861735,0,0
"1H-Indene, 2,3-dihydro-1,6-dimethyl-",0.0063630221,0,0
"1H-Indene, 2,3-dihydro-4-propyl-",0.00273402815,0,0
"1H-Indene, 2,3-dihydro-4,7-dimethyl-",0.02151062905,0,0
"2-Butanone",0.020263432,0,0
"2-Butanone, 4-(dimethylamino)-3-methyl-",0.21709839935,0,0
"2-Butenal, 2-methyl-",0,0.00586722446666667,0
"2-Butene",0.0254572309,0,0
"2-Butene, 2,3-dimethyl-",0.03753180425,0,0
"2-Cyclopenten-1-one, 2-methyl-",0.00363416415,0,0
"2-Cyclopenten-1-one, 3-methyl-",0.00349587005,0,0
"2-Ethylacrolein",0.007096345,0,0
"2-Fluoro-3-(trifluoromethyl)phenol",0.00303963185,0,0
"2-Furancarbonitrile",0.0007215795,0,0
"2-Furancarboxaldehyde, 5-methyl-",0.03267287725,0,0
"2-Hexene, 3-methyl-",0,0.0402238747333333,0
"2-Hydroxy-iso-butyrophenone",0.00181844915,0,0
"2-n-Heptylfuran",0.00783058985,0,0
"2-Nonanone",0,0.0170643074333333,0
"2-Octene, 4-ethyl-",0.0206859983,0,0
"2-Pentanol, 4-methyl-",0,0,0.002735812
"2-Pentanone",0.17795140575,0,0
"2-Pentene",0,0.305190377733333,0
"2-Pentene, 4-methyl-",0.053708955,0,0
"2-Propanol, 1-butoxy-",0.0028289242,0,0
"2-Propanol, 1-propoxy-",0.0107847667,0,0
"2-Propanol, 1,1,1-trichloro-2-methyl-",0,0.00172871613333333,0
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0.00365990215,0,0
"2-Propanone, 1,1,1-trifluoro-",0.06497964385,0,0
"2-Propen-1-ol",0.0023946379,0,0
"2,2-Dimethoxybutane",0.0920508182,0,0
"2,2'-Dimethylbiphenyl",0,0.00164163136666667,0
"2,3-Butanedione",0,0.129635108833333,0
"2,4-Dimethylfuran",0.8718041162,0,0
"2,6-Diisopropylnaphthalene",0.00646126085,0,0
"2,6-Lutidine",0.0568650095,0,0
"2(3H)-Furanone, 5-butyldihydro-",0,0.00359335716666667,0
"2(3H)-Furanone, dihydro-5-propyl-",0,0.00490711023333333,0
"2H-Imidazole, 2,2,4,5-tetramethyl-",0.0457691244,0,0
"3-Carene",0.00985936505,0,0
"3-Decene, 2,2-dimethyl-",0.02312390425,0,0
"3-Dodecene",0.0152089194,0,0
"3-Heptanone",0.01804110325,0,0
"3-Heptene, 4-ethyl-",0.01077799075,0.0143353576,0
"3-Hexen-2-one",0.0057187285,0,0
"3-Hexene, 2,2-dimethyl-",0,0.0277801471666667,0
"3-Octene, 2,2-dimethyl-",0,0.0195192350666667,0
"3-Penten-2-one",0.0353596688,0,0
"3,5-Difluorobenzaldehyde",0,0.0118541369,0
"3,5-Difluorophenol",0.002552293,0,0
"3,5-Dimethylcyclopentene",0,0.0199530487333333,0
"4-Cyclopentene-1,3-dione",0,0.0108706452,0
"4-Ethylbenzoic acid, 2,6-dimethylnon-1-en-3-yn-5-yl ester",0.0099525125,0,0
"4-Methyl-hexadecahydro-pyrene",0,0.0083568065,0
"4-Methylthiazole",0.00271109775,0,0
"4-Penten-2-one, 4-methyl-",0.500596833,0,0
"4-Pyridinecarboxaldehyde",0.00522019075,0,0
"4(1H)-Pyrimidinone, 6-methyl-",0.039290073,0,0
"5-Undecene",0.01254985305,0,0
"5,9-Undecadien-2-one, 6,10-dimethyl-",0,0.0161056828333333,0
"6-(p-Tolyl)-2-methyl-2-heptenol, trans-",0.1237284109,0,0
"6-Dodecanol",0.0367144586,0,0
"6,7-Dimethyl-1,2,3,5,8,8a-hexahydronaphthalene",0.00445697515,0,0
"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",0,0.0135177578,0
"Acenaphthene",0.0117767621,0,0
"Acetaldehyde",0.15823923575,0,0
"Acetaldehyde, hydroxy-",0.0389505213,0,0
"Acetamide",0.04756401315,0,0
"Acetic acid",0.4757265347,0,0
"Acetic acid, butyl ester",0.01833967565,0,0
"Acetic acid, hydroxy-",0,0.0331283971333333,0
"Acetic acid, phenylmethyl ester",0.0014768454,0,0
"Acetone",13.0861194543,0,0
"Aniline",0.001710332,0.00431812753333333,0
"Benzene, (1-butylhexyl)-",0.0546503359,0,0
"Benzene, (1-pentyloctyl)-",0.0312115703,0,0
"Benzene, (1,3-dimethylbutyl)-",0.00459847585,0,0
"Benzene, 1-chloro-4-(trifluoromethyl)-",0.0075784713,0,0
"Benzene, 1-ethenyl-2-methyl-",0,0.0158653298666667,0
"Benzene, 1-ethyl-2,3-dimethyl-",0.0827155958,0,0
"Benzene, 1-ethyl-2,4-dimethyl-",0.05933761075,0,0
"Benzene, 1-ethyl-2,4,5-trimethyl-",0.01212303625,0,0
"Benzene, 1-methyl-3-(1-methylethyl)-",0.0387902092,0,0
"Benzene, 1-methyl-4-(1-methylpropyl)-",0.0175152027,0,0
"Benzene, 1-methyl-4-butyl",0.0128351796,0,0
"benzene, 1,1'-(1-methylethylidene)bis[4-methyl-",0,0.00708814463333333,0
"Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis-",0.0089709212,0,0
"Benzene, 1,2,3,5-tetrafluoro-",0.04356676805,0,0
"Benzene, 1,2,4,5-tetramethyl-",0,0,0.037355856
"Benzene, 1,3-diethyl-",0.00320474955,0.0361720425333333,0
