"","Tissue1_SS2","Tissue1_SS3","Tissue1_SS4","Tissue1_SS5","Tissue1_SS6","Tissue2_SS2","Tissue2_SS3","Tissue2_SS4","Tissue2_SS5","Tissue2_SS6","Tissue3_SS5","Tissue3_SS6"
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0,0,0,0,0.0151523586666667,0.00687759355,0,0,0,0,0,0
"(Z),(Z)-2,4-Hexadiene",0,0,0,0,0,0.00334083045,0,0,0,0,0,0
"1-Benzoyl-2-methylenehydrazine",0,0,0,0,0,0.00368083635,0,0,0,0,0,0
"1-Butanol, 2-methyl-",0,0,0,0,0,0,0,0,0,0.0093940155,0,0
"1-Butanol, 3-methyl-",0.00196624145,0,0,0,0,0.0028763919,0,0,0.0117980071,0.0098787675,0,0.005795497
"1-Butene",0.72412370815,0,0,0,0,0,0,0,0,0,0,0
"1-Butene, 3-methyl-",0,0,0,0,0,0,0,0,0,0.070995056,0,0.031893159
"1-Ethyl-2-pyrrolidinone",0,0,0,0,0,0.00041181795,0,0,0,0,0,0
"1-Heptanol",0,0,0,0,0,0,0,0,0,0.0164713845,0,0.005989814
"1-Hexene, 3-methyl-",0,0,0,0,0,0,0,0,0,0.0031649545,0,0
"1-Hydroxy-2-butanone",0,0,0,0,0,0,0,0,0,0.006198799,0,0
"1-Methylbicyclo(4.4.0)decane(trans)",0,0,0,0.0130847036333333,0,0,0,0,0.0201081946666667,0,0.0188104990333333,0
"1-Octanamine, N-methyl-",0,0,0,0,0,0,0,0,0,0,0.0508683086333333,0.0966454146666667
"1-Octanol",0.00528931345,0,0,0,0,0,0,0,0,0,0,0
"1-Octene",0,0,0.0532543814,0,0,0,0,0,0,0,0,0
"1-Pentanol, 3-methyl-",0,0,0,0,0,0,0,0,0,0.0054939195,0,0
"1-Penten-3-ol",0.0042205068,0,0,0,0,0,0,0,0,0,0,0
"1-Penten-3-one",0,0,0.00489584696666667,0,0,0,0,0,0,0,0,0
"1-Penten-3-one, 4-methyl-",0.00218200135,0,0,0,0,0.00189260415,0,0,0,0,0,0
"1-Pentene, 3-methyl-",0,0,0,0,0,0,0.0325064853333333,0,0,0,0,0
"1-Pentene, 4-methyl-",0.00582271385,0,0,0,0,0,0,0,0,0,0,0
"1-Propanol, 3,3'-oxybis-",0,0,0,0,0,0,0.054446098,0,0,0,0,0
"1-Propene, 2-methoxy-",0,0,0,0.0884980287666667,0,0,0,0,0.0683564573333333,0,0,0
"1-Propene, 2-methyl-",0,0,0,0,0,0,0,0,0,0.0368764985,0,0
"1-Propylcyclopentene",0.00129269435,0,0,0,0,0,0,0,0,0,0,0
"1-Tetrazol-2-ylethanone",0.0342611003,0,0,0,0,0,0,0,0,0,0,0
"1,1-Dichloro-1-fluoroethane",0.00651799185,0,0,0,0,0,0,0,0,0,0,0
"1,1,2,3,4,4,4-Heptafluoro-3-(trifluoromethyl)but-1-ene",0.0007974576,0,0,0,0,0,0,0,0,0,0,0
"1,1,4,5,6-Pentamethyl-2,3-dihydro-1H-indene",0,0,0,0,0.0122857813333333,0,0,0,0,0.011116141,0,0.00727301066666667
"1,1,6,6-Tetramethylspiro[4.4]nonane",0,0,0,0,0,0,0,0,0.0040356398,0,0.0107909359666667,0
"1,1'-Bicyclobutyl",0.0165839132,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 2-methyl-",0,0,0,0,0,0,0.00276284,0,0,0,0,0.004486711
"1,1'-Biphenyl, 4-methyl-",0,0,0.00291629973333333,0,0,0.0007727834,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid",0,0,0,0,0,0.00901649855,0,0,0,0,0,0
"1,2-Ethanediol, monoacetate",0,0,0,0,0,0,0,0,0,0.0306446255,0,0
"1,2-Propanedione, 1-phenyl-",0,0,0,0,0,0.0012134356,0,0,0,0,0,0
"1,2,3-Trifluoro-4-trifluoromethylbenzene",0.02196326375,0,0,0,0,0.0414900157,0,0,0,0,0,0
"1,2,4-Trifluorobenzene",0,0.0874547796,0,0,0,0,0.121083359333333,0,0,0,0,0
"1,2,4,4-Tetramethylcyclopentene",0,0,0,0,0.0134860693333333,0,0,0,0,0.020376551,0,0.0111313213333333
"1,3-Cyclohexadiene",0,0,0.0067599115,0,0,0.0022315378,0,0,0,0,0,0
"1,3-Cyclohexadiene, 1,5,5,6-tetramethyl-",0,0,0,0,0,0,0,0,0,0,0,0.001968832
"1,3-Cyclopentadiene",0.00144944685,0.00422655593333333,0,0,0,0,0.00599222,0,0,0,0,0
"1,3-Diazine",0.0016405557,0,0,0,0,0.00758742625,0,0,0,0.0060641555,0,0
