"Name","foot1_SS2","foot1_SS3","foot1_SS4","foot1_SS5","foot1_SS6","foot2_SS2","foot2_SS3","foot2_SS4","foot2_SS5","foot2_SS6","foot3_SS5","foot3_SS6","foot4_SS5","foot4_SS6","foot5_SS2","foot5_SS3","foot5_SS4","foot5_SS5","foot5_SS6","foot6_SS5","foot6_SS6","foot7_SS5","foot7_SS6","foot8_SS4","foot8_SS5","foot8_SS6","foot9_SS4","foot9_SS5","foot9_SS6","Tissue1_SS2","Tissue1_SS3","Tissue1_SS4","Tissue1_SS5","Tissue1_SS6","Tissue2_SS2","Tissue2_SS3","Tissue2_SS4","Tissue2_SS5","Tissue2_SS6","Tissue3_SS5","Tissue3_SS6","Bone1SS2","Bone1SS3","Bone1SS4","Bone1SS5","Bone1SS6","Bone2SS2","Bone2SS3","Bone2SS4","Bone2SS5","Bone2SS6","Bone3SS5","Bone3SS6","Bone4SS4","Bone4SS5","Bone4SS6","Bone5SS4","Bone5SS5","Bone5SS6","Bone6SS5","Bone6SS6","Bone7SS5","Bone7SS6","Blood1SS2","Blood1SS3","Blood1SS4","Blood1SS5","Blood1SS6","Blood2SS2","Blood2SS3","Blood2SS4","Blood2SS5","Blood2SS6","Blood3SS5","Blood3SS6","Teeth1SS2","Teeth1SS3","Teeth1SS4","FootB_SS3","FootB_SS4","FootB_SS6","FootB_SS6Indoor","FootR_SS3","FootR_SS4","FootR_SS6","FootS_SS3"
"2-Pentanone",0.11944968315,0,0,0,0,0,0,0,0,0,0.25392776845,0,0,0,0,0,0,0,0,0,0,0.5954732115,0,0,0,0,0,0.1618202125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278894334333333,0,0,0,0,0,0.6285014555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17795140575,0,0,0,0,0,0,0,0,0,0
"Guanidine carbonate",0.00676654375,0,0,0,0,0,0,0.0006409934,0,0,0,0.00673414866666667,0,0,0,0.00387301906666667,0,0,0,0,0,0,0,0,0.00346469123333333,0,0,0,0,0,0,0,0,0,0,0.00473523766666667,0.00217907253333333,0,0,0,0,0,0,0,0,0.0048986137,0,0,0,0,0.0017246892,0,0,0,0,0.0022556925,0,0,0.00522985733333333,0,0,0,0,0,0,0,0,0,0,0.0014022026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrolactone",0.0212506937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200037033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047684854,0,0,0,0,0,0,0,0,0,0
"Octane, 1-chloro-",0.01325730375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589550996666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414088666666667,0,0.0094126262,0,0,0,0.0038289785,0,0,0,0,0,0,0,0.01715964735,0,0,0,0,0,0.0566024215,0,0,0,0,0,0,0,0,0,0,0,0,0.00380014386666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0.0196039205,0,0,0.0413779844666667,0,0.30508122105,0,0,0.0180878633333333,0.01425194325,0.01353537735,0,0.00992796585,0,0,0,0,0,0,0.0216774865333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183713774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02244084125,0,0
"Ethene, iodo-",0.00203852905,0,0,0,0.00397869175,0,0,0,0,0.00439915815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030190715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclopropane, 1-ethyl-2-methyl-, cis-",0.0129844915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, pentafluoro-",0.028702925,0,0,0,0.08683207815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04418352065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Ethylacrolein",0.0078576375,0,0,0,0,0,0,0,0,0,0,0,0.0077457575,0,0,0,0,0,0,0,0,0,0,0,0,0.090061689,0,0,0,0,0,0,0,0,0.00697708215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727847505,0,0,0,0,0,0,0.007096345,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,2,3,4-tetrafluoro-",0.0062551683,0,0,0,0.0204515075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328310106666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00505333746666667,0,0,0,0,0.00455584545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853431953333333
"Butane, 2,2,3,3-tetramethyl-",0.00681131325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02807359285,0,0,0,0,0,0,0,0,0,0,0.029638395,0,0,0,0,0,0.0171882558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470182140666667,0,0,0,0,0,0,0,0,0,0,0,0.268456965,0,0,0.1611735543,0,0,0,0,0,0,0,0,0,0
"2-Pentene, 2,4,4-trimethyl-",0.00797953625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diethyl azodicarboxylate",0.0486161678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014145088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16749041755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070610126,0,0,0,0,0,2.72404413966667
"Cyclohexane, 1,3-dimethyl-",0.0110788284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Hexene, 3,5-dimethyl-",0.0176949777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168929515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708369506666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021572524,0,0,0,0,0,0,0,0,0,0,0,0
"Methanesulfonyl chloride",0.00725806555,0,0,3.8806662337,0,0,0,0,0,0,0,0,0,0,0.000808961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157452152333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114516769333333,0,0,0,0,0.1501332979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nonene",0.02875412585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106109025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heptane, 1-chloro-",0.002562543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015994731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00554505925,0,0,0,0,0,0.0138777638666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclohexene, 1-methyl-",0.0108637507,0,0,0,0,0.0099437103,0,0,0,0.01016020345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048431472,0,0,0,0,0,0,0.0036701959,0,0,0,0.003422568,0.0052374687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078776995,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,3-dichloro-",0.0022396385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825759536666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00091135005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
