"","D1d0","D1d1","D1d2","D1d4","D1d5","D1d6","D1d7","D1d8","D1d9","D1d10","D1d11","D1d12","D1d13","D1d14","D1d15","D1d16","D1d17","D1d18","D1d21","D1d26","D1d28","D1d30","D1d32","D1d35","D1d42","D1d49","D1d56","D1d65","D1d74","D1d81","D1d87"
"(3aR,4R,8R,8aS)-3a,4,7,8a-Tetramethyl-1,2,3,3a,4,5,8,8a-octahydro-4,8-methanoazulene",0.006325122,0.00800250866666667,0.0135040967,0.0061826976,0.00131785905,0.00256465556666667,0,0.00157766753333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3aR,4R,8R,8aS)-3a,4,8a-Trimethyl-7-methylenedecahydro-4,8-methanoazulene-rel-",0.023820596,0.0317727246666667,0.0521071421,0,0.0075128108,0.00808973726666667,0,0.0108497593333333,0.0153299525,0.0134853963333333,0.0161694943333333,0,0.0158841954666667,0,0.016523254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Bicyclohexyl)-2-amine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002914823,0,0,0,0,0,0,0,0
"(Butylamino)acetonitrile",0,0,0,0,0,0,0,0,0,0.0298257216666667,0.0284220223333333,0,0.0201890323333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-(-)-3-Methyl-2-butanol",0,0,0,0,0,0,0,0,0,0.121802893333333,0,0,0,0,0,0.100696155,0.0927869243333333,0,0,0.0599869423666667,0,0,0,0,0,0,0,0,0,0,0
"(S)-(+)-1,2-Propanediol",0,0,0,0,0,0,0,0,0,0,0,0.0349304363333333,0,0.017069576,0,0,0,0.437632941333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-Undec-6-en-2-one",0,0,0,0,0,0,0,0,0,0.0178795223333333,0,0.00956891966666667,0,0.0216822883333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[1,1':3',1''-Terphenyl]-2'-ol",0,0,0,0,0,0,0,0,0,0.00983301566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(2,4-Dihydroxyphenyl)-2-(4-methoxy-3-nitrophenyl)ethanone",0,0,0,0,0,0,0,0,0,0.007367224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301710435333333,0,0,0,0,0,0,0
"1-Butanamine",0,0,0,0,0,0,0,0,0,0,0,0.035800441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.973759648,8.05992902533333,6.48093393333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543469659333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0,0,0,0.2226918711,0.21933240985,0,0,0,1.923781103,0,0,0,0,0,0,0,0,0,0,0,0,0.495657839366667,0.215260595333333,0.292849420866667,0.0643161606333333,0,0,0.0224204228666667,0.0116786428333333,0.0192291118333333,0.0455349549
