"","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34"
"(S)-(+)-1,2-Propanediol",0,0,0,0,0,0,0,0,0,0,0.0160610251666667,0,0,0,0,0
"1-Butanamine",0,0,0,0,0,0,0,0,0,0,0,0.0426869298,0,0,0,0
"1-Butanol, 2-methyl-",0.00347476636666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0.00369791136666667,0,0,0,0,0,0,0.273164394633333,0,0,0.7685702098,0,0.242599599766667,0.0978782882333333,0.0814831286333333,0
"1-Ethylcyclopentene",0,0,0,0,0,0.00263983133333333,0,0,0,0,0,0,0,0,0,0
"1-Hexene",0.0259296621333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nonanol",0,0,0,0,0,0,0,0,0,0,0.0424645977666667,0,0,0,0,0
"1-Octanol, 2-butyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0154985518333333,0,0,0
"1-Octen-3-one",0.0717152362666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00164230193333333,0,0
"1-Octene",0,0.0238040955,0,0,0,0.0470824236666667,0,0,0,0,0,0,0,0,0,0
"1-Pentanol, 4-methyl-2-propyl-",0.0015000713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Penten-3-one",0,0.00366353423333333,0,0.0027942183,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0,0,0.0214306096666667,0,0,0.0117210777,0,0,0,0,0,0
"1-Propanol",0,0,0,0,0,0,0.110367520333333,0.0479539914666667,0,0,0,0,0,0,0,0
"1-Propanol, 2-methyl-",0,0,0,0,0,0,0.128269337933333,0.6052099973,0,0,0,0,0.0302748414666667,0,0,0
"1,1,1-Trifluoro-2-propanol",0,0,0,0,0,0,0,0,0,0.0140496532,0,0,0,0,0,0
"1,1,1,4,4,4-Hexafluorobut-2-ene",0.0104942541333333,0,0,0,0,0,0,0,0.00669894793333333,0,0,0,0,0,0,0.0146343835333333
"1,2-Benzenediol, o-(4-methoxybenzoyl)-o'-(2,2,3,3,4,4,4-heptafluorobutyryl)-",0,0,0,0,0.00445646566666667,0,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediamine, N-(2-aminoethyl)-",0.0115981508,0,0,0,0,0,0,0,0,0.0015151266,0,0,0,0,0,0
"1,2-Ethanediamine, N,N,N'-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0.0385999634666667,0,0,0,0
"1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-",0,0,0,0,0,0,0,0.044035573,0.457070447833333,0.0410949489666667,0.1366727542,0,0,0,0,0
"1,2,4,5-Tetrazin-3-amine, 6-methyl-",0,0,0,0,0,0,0,0,0,0.4172693358,0.201928332466667,0,0,0,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0,0,0,0,0,0,0.0244562047333333,0,0,0,0,0,0,0,0,0.0177312449333333
"1,2,5-Thiadiazole",0,0,0,0,0,0,0,0,0,0,0.00548748633333333,0,0,0,0,0
"1,3-Diazine",0,0,0,0,0,0,0,0,0.00792215773333333,0.0129288013666667,0.0454833085,0.0082144202,0,0,0,0
"1,3-Dioxolane",0,0,0,0,0,0,0,0,0,0.0270923167666667,0,0.00597273226666667,0,0,0,0
"1,3-Dioxolane, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174580631333333,0,0
"1,3-Octadiene",0,0.0258391373333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,5-Triazine",0,0,0,0,0,0,0,0,0.0308481194666667,0.256663667833333,0,0.3577842942,0.0119691781333333,0.004238695,0.0750916841666667,0
