"","D11d0","D11d1","D11d2","D11d3","D11d6","D11d8","D11d10","D11d14","D11d17","D11d20","D11d24","D11d27","D11d30"
"1-Butanol, 2-methyl-",0,0,0.007886241,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0,0,0,0,0,0.0808007885333333,0,0.054637749,0.00907619453333333,0.0670909956666667,0,0.0109520393666667,0.0103179702
"1-Decanol, 2-ethyl-",0,0,0.0045001446,0,0,0,0,0,0,0,0,0,0
"1-Decene",0,0,0.0130240485,0,0,0,0,0,0,0,0,0,0.00442714886666667
"1-Ethylcyclopentene",0,0,0.004839377,0,0,0,0,0,0,0,0,0,0
"1-Fluoro-3-(trifluoro-methyl)benzene",0,0,0,0.011414553,0,0,0,0,0,0,0,0,0
"1-Heptanamine",0,0,0,0,0,0,0,0,0,0,0.216240332433333,0.313014007866667,0
"1-Heptene, 2-methyl-",0,0,0.00315076725,0,0,0,0,0,0,0,0,0,0
"1-Hexanol",0,0,0.0252495772,0,0,0,0,0,0,0,0,0,0
"1-Hexene",0,0,0,0,0,0,0.0405313949333333,0,0,0,0,0,0
"1-Nonene",0,0,0.0182306114,0,0,0,0,0,0,0,0,0,0
"1-Octanamine",0,0,0,0,0,0,0,0,0,0,0.166612191466667,0,0
"1-Octanol, 2-butyl-",0.0105126361,0,0,0,0.00469895483333333,0,0,0,0,0,0,0.0188676848,0
"1-Octen-3-one",0.0138376095,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octene",0,0,0.0720407387,0,0,0,0,0,0,0,0,0,0
"1-Octyn-3-ol",0,0,0,0,0,0,0,0,0,0,0,0,0.00153511833333333
"1-Oxo-1-[(trifluoromethyl)sulfinyl]ethane",0,0,0.0928013033,0,0,0,0,0,0,0,0,0,0
"1-Pentanol",0,0,0,0,0,0,0,0.00861479173333333,0,0,0,0.005710595,0
"1-Penten-3-one",0,0,0,0,0,0.00208479613333333,0,0,0,0,0,0,0
"1-Pentene, 2-methyl-",0,0,0.01731536755,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4-dimethyl-",0,0,0,0.005733467,0,0,0,0,0,0,0,0,0
"1-Propanol",0,0.0580843734333333,0,0,0,0,0,0,0,0,0,0,0
"1-Propanol, 2-methyl-",0,0,0,0,0,0,0,0.0867020126333333,0.0167369212666667,0.0572978343333333,0,0,0
"1-Propylcyclopentene",0,0,0.00216861,0,0,0,0,0,0,0,0,0,0
"1,1,1-Trifluoro-2-propanol",0,0,0,0,0.025083852,0,0,0,0,0,0,0,0
"1,1,1,4,4,4-Hexafluorobut-2-ene",0,0,0.01793294345,0.0280251893333333,0,0,0,0,0,0,0.00864509206666667,0,0
"1,2-Ethanediol",0,0.0838411962,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trifluorobenzene",0,0,0.38810886685,0,0,0,0,0,0,0,0,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0,0,0.0355904924,0,0,0,0,0,0,0,0,0,0
"1,3-Dioxolane",0,0,0.003483139,0,0.00530801936666667,0,0.00877411306666667,0,0,0,0,0,0.0030618575
"1,3-Dioxolane, 2-methyl-",0,0,0,0,0,0,0,0,0.0245574017666667,0,0,0,0
"1,3-Pentadiene, 2,4-dimethyl-",0,0,0.0016646609,0,0,0,0,0,0,0,0,0,0
"1,3,5-Triazine",0,0,0,0,0,0,0,0,0.00915089046666667,0.00297666866666667,0,0.00869656033333333,0
"1,3,6-Trioxocane, 2-methyl-",0,0.0113581203666667,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dioxane, 2,5-dimethyl-",0,0,0,0,0,0,0,0.0105920302,0,0,0,0,0
"1,4-Dioxin, 2,3-dihydro-",0,0,0,0,0,0,0.00471501263333333,0,0,0,0,0,0
"1,5-Hexadiene, 3,3,4,4-tetrafluoro-",0,0,0.02584753245,0,0,0,0,0,0,0,0,0,0
"12-Methylaminolauric acid",0,0,0.02349349465,0,0,0,0,0,0,0,0,0,0
"14-Oxa-1,11-diazatetracyclo[7.4.1.0(2,7).0(10,12)]tetradeca-2,4,6-triene, 11-acetyl-6,9-bis(acetyloxy)-4-formyl-8-[(aminocarbonyloxy)methyl]-",0,0,0.0490200988,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-butyl-",0,0,0,0,0,0,0.0157936015,0,0,0,0,0,0
"1H-Pyrrole, 2-methyl-",0,0,0.0024609432,0,0.0159194715,0,0.0195658107,0,0,0,0,0,0.0153881082666667
"1H,1H,2H-Perfluoro-1-octene",0,0,0.0033825468,0,0,0,0,0,0,0,0,0,0
"2-Butanone, 3-methyl-",0,0,0,0,0.0115496971,0,0,0,0,0,0,0,0
"2-Butene",0,0,0,0,0.176283226666667,0,0,0,0,0.10530819,0,0,0
"2-Cyclohexen-1-one",0,0,0.00561284205,0,0.0023024697,0,0.0016729126,0,0,0,0,0,0
"2-Fluoro-3-(trifluoromethyl)phenol",0,0,0.00504205635,0,0.0035489844,0,0,0,0,0,0,0,0
"2-Heptanone",0,0,0,0,0,0,0,0.0240805466666667,0,0,0,0,0
"2-Heptene",0,0,0.00637897065,0,0,0,0,0,0,0,0,0,0
"2-Hexanone",0,0,0.05553383655,0,0.0353475998666667,0,0,0,0,0,0,0,0
"2-Hexenal",0,0,0.0043861868,0,0,0,0,0,0,0,0,0,0
"2-Hexene, 3,5-dimethyl-",0,0,0.03115623465,0,0.0163993383333333,0,0,0,0,0,0,0,0.0136314719333333
"2-n-Butyl furan",0,0,0.0078742265,0,0,0,0,0,0,0,0.0027513141,0.00462785016666667,0
"2-Nonenal",0,0,0.0033237772,0,0,0,0,0,0,0,0,0,0
"2-Octen-1-ol",0.0222507325333333,0,0,0,0,0,0,0,0,0,0.00181545,0,0
"2-Octene",0,0,0.0220798462,0,0,0,0,0,0,0,0,0,0
"2-Pentanone, 5-hydroxy-",0,0,0,0,0.00418728273333333,0,0,0,0,0,0,0,0
"2-Pentene",0,0,0.03070662915,0,0,0.0147357407666667,0,0,0,0,0,0.0124625035,0.0182181527
"2-Piperidinone, N-[4-bromo-n-butyl]-",0,0,0.0102062751,0,0,0,0.00364672776666667,0,0,0,0,0,0
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0,0,0,0,0.0121826763333333,0,0,0,0,0,0,0,0
"2-Propanol, 2-methyl-",0,0,0.00533867005,0,0,0,0,0,0,0,0,0,0
"2-Propanone, 1,1,1-trifluoro-",0,0,0.0894833793,0,0,0,0,0,0,0,0,0,0
"2-Propen-1-ol",0,0.00249865973333333,0,0,0,0,0,0.00250550696666667,0,0,0,0,0
"2-Propenenitrile",0,0.00869828986666667,0.0074498528,0.0469596116666667,0,0,0.0693609794666667,0,0,0,0,0.0395360607333333,0.0046294427
"2-Thiophenecarboxaldehyde",0,0,0.00302605795,0,0,0,0,0,0,0,0,0,0
"2,3-Bis(trifluoromethyl)buta-1,3-diene",0,0,0,0,0.00234238456666667,0,0,0,0,0,0,0,0
"2,4-Di-tert-butylphenol",0,0,0,0,0,0,0,0.1328002927,0,0,0,0,0
"2,4-Octadienal, (E,E)-",0.00213816276666667,0,0,0,0,0,0,0,0,0,0,0,0
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0,0,0.0066180326,0,0.00301189053333333,0,0,0,0,0,0.00363717446666667,0,0
"2,5-Furandione, 3-(1,1-dimethylethyl)-",0,0,0,0,0,0,0.0022934014,0,0,0,0,0,0
"2(3H)-Furanone, 5-ethyldihydro-",0,0,0.0183564315,0,0.00865160766666667,0,0.00575649246666667,0,0,0,0.00427747063333333,0,0.0022853184
"2(3H)-Furanone, dihydro-5-methyl-",0,0,0.0318596607,0,0.00918932103333333,0,0,0,0,0,0.00231459633333333,0,0
"2H-1,2-Oxazine, 6-(4-chlorophenyl)tetrahydro-2-methyl-",0,0,0,0.005118196,0,0.00100202133333333,0,0,0,0,0,0,0
"2H-Pyran-2-one, tetrahydro-",0,0.0125052281666667,0.02018334715,0,0.0122414076,0,0.0125918678,0,0,0,0,0.007960575,0
"3-Aminopropionitrile",0,0,0,0,0,0.0420197289333333,0,0,0.00835865586666667,0,0,0,0
"3-Carene",0,0.00555578963333333,0,0,0,0,0,0,0,0,0,0,0
"3-Ethyl-3-hexene",0,0,0,0,0.0422282467,0,0,0,0,0,0,0,0
"3-Furaldehyde",0,0,0,0,0,0,0.00272184856666667,0,0,0,0,0,0
"3-Heptanone, 5-methyl-",0,0,0.00413593825,0,0,0,0,0,0,0,0,0,0
"3-Heptene",0,0,0,0.00884861166666667,0,0,0,0,0,0,0,0,0
"3-Hexene",0.0092499392,0,0,0,0,0.00584052233333333,0,0.00872864513333333,0,0.00940491733333333,0,0,0
"3-Methoxybut-1-ene",0,0,0,0,0,0,0,0.00384632753333333,0,0,0,0,0
"3-Methyl-1,2-diazirine",0,0,0.0567089517,0,0,0,0,0,0,0,0,0,0
"3-Methylcyclopentyl acetate",0,0.00718299996666667,0,0,0.00689787206666667,0,0.0299811292,0,0,0,0,0,0
"3-Octanol",0.0034488138,0,0,0,0,0,0,0,0,0,0,0,0
"3-Penten-1-ol, 2,2,4-trimethyl-",0,0,0,0,0.00460878096666667,0.0114413264333333,0,0,0,0,0,0,0
"3-Penten-2-one",0,0,0.03485906765,0,0,0,0,0,0,0,0,0,0
"3-Trifluoroacetoxypentadecane",0,0,0.0038221002,0,0,0,0,0,0,0,0,0,0
"3,5-Difluorophenol",0,0,0.00496979895,0,0,0,0,0,0,0,0,0,0
"3',4'-Difluoroacetophenone",0,0,0.00885674,0,0,0,0,0,0,0,0,0,0
"4-Carene, (1S,3R,6R)-(-)-",0,0,0.0027906993,0,0,0,0,0,0,0,0,0,0
"4-Hydroxy-alpha,alpha-bis(trifluoromethyl)benzyl alcohol",0,0,0.0017442937,0,0,0,0,0,0,0,0,0,0
"4-Nonene",0,0,0.0120528158,0,0,0,0,0,0,0,0,0,0
"4-Octene",0,0,0.053748156,0,0,0,0,0,0,0,0,0,0
"5-Hepten-2-one, 6-methyl-",0,0,0,0,0.0387529547,0,0,0,0,0,0,0,0
"5-Tridecene",0,0,0,0,0,0,0,0,0,0,0,0,0.00295202086666667
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",0,0,0,0,0,0,0,0,0.00254792493333333,0,0,0,0
"Acetic acid",0,0,0.0267608502,0,0,0,0,0,0,0,0,0.0350882105666667,0
"Acetic acid ethenyl ester",0,0.0365623423666667,0,0,0,0,0,0,0,0,0,0,0
"Acetic acid, hydrazide",0,0,0.0917205362,0,0,0,0.0346899963333333,0,0,0,0,0,0
