"","D1d801","D11d8"
"1-Butanol, 2-ethyl-",0.00142178156666667,0
"1-Butanol, 3-methyl-",0.0156071286333333,0.0743567790666667
"1-Hexanol",0.0105940780333333,0
"1-Penten-3-one",0.0026872444,0.00196834386666667
"1-Propene, 2-methyl-",0.0937388232333333,0
"2-Hexanone",0.025170943,0
"2-Pentene",0,0.0146007401
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.00950457103333333,0
"2H-1,2-Oxazine, 6-(4-chlorophenyl)tetrahydro-2-methyl-",0.0026552438,0.0009677422
"3-Aminopropionitrile",0,0.0434022705333333
"3-Hexen-1-ol",0.00308363483333333,0
"3-Hexene",0,0.00559302486666667
"3-Penten-1-ol, 2,2,4-trimethyl-",0,0.0098644634
"Acetic anhydride",0.602582165033333,0
"Allantoic acid",0.0313941461333333,0
"Benzene, [2,2,2-trifluoro-1-(trifluoromethyl)ethyl]-",0,0.001201143
"Benzene, 1-ethyl-4-methyl-",0,0.00871269633333333
"Benzene, 1,2,4,5-tetrafluoro-3-(trifluoromethyl)-",0,0.000831420066666667
"Butane, 1-methoxy-3-methyl-",0,0.0273058155333333
"Cyclohexane",0,0.0056654359
"Cyclopropane, ethyl-",0,0.136922634833333
"Dimethyl sulfide",0,0.0028068357
"Dimethyl trisulfide",0,0.00293724426666667
"Disulfide, bis(1,1,3,3-tetramethylbutyl)",0.00606437873333333,0.0026326143
"Disulfide, dimethyl",0.00497674226666667,0.0190905863
"Ethylenediamine",0,0.1149478247
"Furan",0.0436787665,0
"Hexane, 2,4-dimethyl-",0,0.00229030796666667
"Methylamine, N,N-dimethyl-",0,0.328650323733333
"Nitric oxide",0,0.0141045164
"Oxime-, methoxy-phenyl-_",0,0.0003368773
"p-Xylene",0,0.0176997326
"phenol, 2-(1,1,3,3-tetramethylbutyl)-",0.0761344997333333,0
"Phenyl trifluoromethyl ether",0,0.00376825846666667
"Prenol",0.00194592336666667,0
"Propane, 2,2-difluoro-",0,0.00251624496666667
