"","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38"
"(3aR,4R,8R,8aS)-3a,4,7,8a-Tetramethyl-1,2,3,3a,4,5,8,8a-octahydro-4,8-methanoazulene",0,0,0,0,0.0030025086,0,0,0,0,0,0,0,0,0
"(3aR,4R,8R,8aS)-3a,4,8a-Trimethyl-7-methylenedecahydro-4,8-methanoazulene-rel-",0,0,0.00449543313333333,0.006191544,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00603194533333333,0.00758867926666667
"1-Butene",0,0,0,0,0,0,0,0,0.0444903939333333,0,0,0,0,0
"1-Butene, 4-bromo-3,3,4,4-tetrafluoro-",0,0,0,0,0.0029308453,0,0,0,0,0,0,0,0,0
"1-Chloro-2,5-difluorobenzene",0,0,0,0,0,0,0,0,0,0,0,0.00291310986666667,0,0
"1-Decanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123159483333333
"1-Decanol, 2-hexyl-",0,0,0,0,0,0,0,0,0,0,0.0342882917,0,0,0
"1-Decene",0,0,0,0,0.00225397403333333,0,0,0,0,0,0,0,0,0
"1-Dodecanone, 2-(imidazol-1-yl)-1-(4-methoxyphenyl)-",0,0,0,0,0,0,0,0,0.00620569716666667,0,0,0,0,0
"1-Eicosanol",0.00403786603333333,0.0044825126,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexene",0,0,0,0,0.0225231613666667,0,0,0,0,0,0,0,0,0
"1-Octanol, 2-butyl-",0,0,0,0,0.00432915483333333,0,0,0,0,0,0,0,0,0
"1-Octen-3-one",0.0099877637,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octene, 3,7-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00237571026666667,0
"1-Pentanol, 2,2,3,3,4,4,5,5-octafluoro-",0,0,0,0,0,0,0,0,0,0,0,0.0015255717,0,0
"1-Pentanol, 4-methyl-2-propyl-",0,0,0,0,0,0,0,0,0,0.000786548566666667,0,0,0,0
"1-Pentene, 4-methyl-",0,0,0,0,0,0.00286582883333333,0,0,0,0,0,0,0,0
"1-Propanol",0,0,0,0,0,0,0,0.0368643369666667,0,0,0,0,0,0
"1-Propanol, 2-methyl-",0.00442834106666667,0,0,0,0,0,0.00569426663333333,0,0,0,0,0,0.00869020183333333,0
"1,1,1-Trifluoro-2-propanol",0,0,0,0,0.0697071262333333,0,0,0,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid",0,0,0,0.0222493352333333,0,0,0,0,0,0,0,0,0,0
"1,2-Dimethyl cyclopropene",0,0,0,0,0,0.00361431963333333,0,0,0,0,0,0,0,0
"1,2,4-Trifluorobenzene",0.0740007695333333,0,0,0,0,0,0.0711774661666667,0,0,0,0,0,0,0
"1,3-Dioxolane",0,0,0,0,0,0,0,0,0.0041233772,0,0,0,0,0
"1,3,5-Triazine",0,0,0,0,0,0,0,0,0,0,0,0,0.00411380533333333,0
"1,3,5-Trifluorobenzene",0,0,0,0,0,0.275276338933333,0,0,0,0,0.5605944111,0,0,0
"1,4-bis[2-(4-Methylphenyl)diazen-1-yl]piperazine",0,0,0,0,0,0,0,0,0,0,0,0,0.00106307906666667,0
"1,4-Dioxane",0.0152609502333333,0.0281049889,0.0106801564,0,0,0,0,0,0,0,0,0,0,0
"1,4-Dioxin, 2,3-dihydro-",0,0,0,0,0,0,0,0,0,0,0,0,0.00192090896666667,0
"1,4-Pentadiene",0,0,0,0.00681552803333333,0.00161118136666667,0,0,0,0,0,0,0,0,0
"1,5-Octadiene, 3,3,4,4,7,7,8,8,8-nonafluoro-",0,0,0,0,0,0,0,0,0,0,0,0.0093300676,0,0
"1H-Pyrrole, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113456249333333
"2-Butanone, 3-methyl-",0,0,0.0221664966,0,0,0,0,0,0,0,0,0,0,0
"2-Butanone, 3,3-dimethyl-",0,0,0,0,0,0,0,0,0,0.00153382396666667,0,0,0,0
"2-Butenal, 2-methyl-",0,0,0.00195469003333333,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclohexen-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125421
"2-Ethylacrolein",0,0.0029574439,0,0,0,0,0,0,0,0,0.00356946176666667,0,0,0
"2-Furanmethanol, 5-ethenyltetrahydro-α,α,5-trimethyl-, cis-",0,0,0,0,0,0,0,0,0,0,0,0.0032759863,0,0
"2-Heptanone, 6-methyl-",0,0,0.00525741663333333,0,0,0,0,0,0,0.00321825996666667,0,0,0.0035011106,0
"2-Heptene",0,0,0.0037652636,0,0,0,0,0,0,0,0,0,0.0016805797,0
"2-Hexen-1-ol",0.00605959893333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-n-Butyl furan",0,0,0,0,0,0,0,0,0,0.00186321203333333,0,0,0,0
"2-n-Heptylfuran",0,0,0,0,0,0,0,0,0,0.0023988821,0,0,0,0
"2-Octanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00695768963333333
"2-Pentene",0,0,0,0,0,0,0,0.0145929904333333,0,0,0,0,0,0
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0,0,0,0,0.0107973962666667,0,0,0,0,0,0,0,0,0
"2-Propanone, 1-chloro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00883371433333333
"2-Propen-1-ol",0,0,0,0,0,0,0,0.00538554806666667,0,0,0,0,0,0
"2-Propenenitrile",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102269179
"2-Propenoic acid, methyl ester",0,0,0,0,0,0.00219646686666667,0,0,0,0,0,0,0,0
"2-Trifluoroacetoxydodecane",0,0,0,0.00398881183333333,0,0,0,0,0,0,0,0,0,0.00162017093333333
"2-Trifluoroacetoxypentadecane",0,0,0.00433208836666667,0,0,0,0,0,0,0,0,0.00288259913333333,0,0
"2,2,3,3-Tetrafluoro-1-propanol",0,0,0,0,0.00257797546666667,0,0,0,0,0,0,0,0,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0,0,0,0,0,0.00464672516666667,0,0,0,0,0
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936984366666667
"2(3H)-Furanone, dihydro-5-methyl-",0,0,0,0,0,0,0,0,0,0.0039169591,0,0,0,0
"2H-Pyran-2-one, tetrahydro-",0,0,0,0,0,0,0,0,0,0.00332001936666667,0,0,0,0
"3-Furaldehyde",0,0,0,0,0,0,0,0,0,0,0,0.0025860018,0,0
"3-Hexene",0,0,0.00474491423333333,0.00436223993333333,0,0.00350796426666667,0,0,0.00527905643333333,0,0,0,0,0
"3-Methylcyclopentyl acetate",0,0,0,0,0,0,0,0,0,0.0054260319,0,0,0,0
"3-Octanol",0.00477260743333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Octene",0,0.0012885088,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Difluorobenzaldehyde",0,0,0,0,0.0218812215333333,0,0,0,0,0,0,0,0.00786096326666667,0
