"","D4d0","D4d1","D4d3","D4d4","D4d7","D4d9","D4d12","D4d31"
"1-Butene",0,0,0,0,0,0,0.0270887606666667,0
"1-Butene, 4-bromo-3,3,4,4-tetrafluoro-",0,0,0,0,0,0.00197516396666667,0,0
"1-Hexanol",0,0.00234973296666667,0,0,0,0,0,0
"1-Pentanol, 2,2,3,3,4,4,5,5-octafluoro-, acetate",0,0,0,0,0.00387882413333333,0,0,0
"1-Pentene, 2,4-dimethyl-",0,0,0,0,0,0,0,0.0009862894
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0.0227744619666667,0,0,0
"1,2,4-Trifluorobenzene",0,0,0,0,0.0837989586,0,0,0
"1,3-Dioxolane",0,0.00255681733333333,0,0,0.00260717673333333,0,0,0
"1,3,5-Triazine",0,0,0,0,0,0,0,0.00214498153333333
"1,3,5-Trifluorobenzene",0,0,0,0,0,0,0.3153652214,0
"1,3,6-Octatriene, 3,7-dimethyl-",0,0,0,0,0,0,0,0.0007728382
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",0,0,0,0,0,0.00769881433333333,0,0
"1H-Pyrrole, 2-methyl-",0,0,0.00267978246666667,0,0,0,0,0
"2-Butenal",0.0024192076,0,0,0,0,0,0,0
"2-Cyclopenten-1-one, 2-methyl-",0,0,0,0,0,0,0,0.000772991066666667
"2-Ethylacrolein",0,0,0.00383930293333333,0,0,0,0,0
"2-Hexenal",0.0119414289666667,0,0,0,0,0,0,0
"2-Octanone",0,0,0,0,0,0,0,0.0044991125
"2-Pentadecanone, 6,10,14-trimethyl-",0,0,0,0,0,0,0.0024001561,0
"2-Propenoic acid, methyl ester",0,0,0.0030152516,0,0,0,0,0
"2-Propenoic acid, octyl ester",0.00379513503333333,0,0,0,0,0,0,0
"2,3-Bis(trifluoromethyl)buta-1,3-diene",0,0,0,0.00205027153333333,0,0,0,0.0013494296
"2,3-Butanedione",0,0,0,0.0110533952666667,0,0,0,0
"2,4,6-Trifluorobenzoyl chloride",0.0016571688,0,0,0,0,0,0,0
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0,0,0,0,0,0,0,0.0204217115
"2,5-Difluorobenzaldehyde",0,0,0,0,0,0,0,0.00357750146666667
"2,6,6-Trimethylcyclohexa-1,4-dienecarbaldehyde",0.00112552493333333,0,0,0,0,0,0,0
"2(3H)-Furanone, dihydro-5-propyl-",0,0,0,0,0,0,0,0.00150377523333333
"3-Heptanone",0,0,0,0,0,0,0,0.00527829993333333
"3-Hexen-1-ol, acetate",0.00537247076666667,0,0,0,0,0,0,0
"3-Hexene",0,0,0,0,0,0,0,0.0056899343
"3-Methylcyclopentyl acetate",0.00309415846666667,0,0,0.00368706673333333,0,0,0,0
"3,5-Dithiahexanol 5,5-dioxide",0.0021322468,0,0,0,0,0,0,0
"4-Tridecene",0,0,0,0,0,0.00280395136666667,0,0
"9-Octadecenoic acid (Z)-, methyl ester",0,0,0.0036122429,0,0,0,0,0
"Acetaldehyde, hydroxy-",0,0,0,0,0.00395589576666667,0.040327952,0,0
"Acetic acid",0,0,0,0,0,0.0344336247,0,0
"Acetic acid ethenyl ester",0.0339202503,0,0,0,0,0,0,0
"Acetic acid, methyl ester",0,0,0,0,0,0,0.1672421357,0
