"","D6d0","D6d1","D6d2","D6d3","D6d4","D6d5","D6d6","D6d7","D6d8","D6d9","D6d10","D6d11","D6d13","D6d15","D6d17","D6d20","D6d22","D6d24","D6d27","D6d29","D6d45","D6d51","D6d59","D6d66","D6d73"
"(2,3,3-Trimethyloxiranyl)methanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438215806666667,0.0411709551333333,0,0,0,0,0,0
"(3aR,4R,8R,8aS)-3a,4,8a-Trimethyl-7-methylenedecahydro-4,8-methanoazulene-rel-",0,0,0.0164894788666667,0,0,0,0,0,0,0,0.00649361526666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(E)-4,8-Dimethylnona-1,3,7-triene",0,0,0,0,0,0,0,0,0,0,0,0.00752447466666667,0,0,0,0,0,0.007001272,0.0133166500333333,0.00831582143333333,0,0,0,0,0
"(R*,S*)-5-Hydroxy-4-methyl-3-heptanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469919613333333
"(S)-(+)-1,2-Propanediol",0,0,0,0,0,0,0,0,0,0,0,0,0.03459136,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-2-Heptene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525342246666667,0,0.00461318766666667,0,0,0,0
"(Z)-3-Heptene",0,0,0,0,0,0,0,0.0025437616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 3-methyl-",0,0,0,0,0,0,0,0,0.0103086099666667,0.268236787933333,1.3467011592,0,0.728827468666667,0,0,1.8497383326,0.8848000841,0,1.37784358126667,0,0,0,0.2148946058,0.0842182953666667,0.0620592966666667
"1-Butanol, 3-methyl-, acetate",0,0,0,0,0,0,0,0,0,0,0.184418212033333,0,0,0,0,0,0,0,0.0636874516666667,0,0,0,0,0,0
"1-Butanol, 3-methyl-, propanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224381280666667,0.00866902233333333,0.0329282647666667,0.0278386176666667,0,0,0,0,0
"1-Butene",0,0,0,0,0,0,0.334726969333333,0,0,0,0,0,0,0.0865043797,0,0,0,0.166930750333333,0,0,0,0,0,0,0
"1-Butene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255383449333333,0,0,0,0,0,0
"1-Decene",0,0,0,0,0.0136619456666667,0,0,0,0,0,0,0,0,0,0,0,0.0030273528,0,0,0,0,0,0,0,0
"1-Dodecanone, 2-(imidazol-1-yl)-1-(4-methoxyphenyl)-",0,0,0,0,0,0,0,0,0,0,0,0.0335882453333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Ethylcyclopentene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237227633333333,0,0,0,0,0,0,0,0
"1-Fluoro-3-(trifluoro-methyl)benzene",0,0.00262803883333333,0,0,0.013284435,0.00256513266666667,0,0,0,0,0,0.00282993733333333,0.00230460166666667,0,0.00350077233333333,0,0,0,0,0,0,0,0,0.0043238113,0
"1-Heptadecanamine",0,0,0,0,0,0,0,0,0,0,0,0.00432239566666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Heptanol",0,0,0,0,0.00806903,0,0,0,0,0,0,0,0,0,0,0,0,0.0811654233333333,0,0.0188984434666667,0,0,0,0,0
"1-Hepten-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869009946666667,0,0.0881326054666667,0,0,0,0,0,0
"1-Heptene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101996682333333,0,0
"1-Hexanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130774417866667,0,0,0,0.0334748685666667,0.0061058615,0.00782862433333333,0,0
"1-Hexanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141654289833333,0,0,0,0,0,0,0,0,0,0
"1-Hexene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397928113333333,0,0,0,0.0167605216,0,0,0
"1-Hexene, 4-methyl-",0.0147357486333333,0,0,0,0,0,0.0062976292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029094159,0,0,0
