"","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72"
"(3aR,4R,8R,8aS)-3a,4,8a-Trimethyl-7-methylenedecahydro-4,8-methanoazulene-rel-",0,0,0,0,0,0,0,0.00305409206666667,0.0115410535,0.00218011253333333,0,0,0,0.0035117589,0,0,0,0,0,0,0,0
"(R*,S*)-5-Hydroxy-4-methyl-3-heptanone",0,0,0,0,0,0,0,0,0,0,0,0,0.914176995333333,0,0,0,0,0,0,0,0,0
"(Z)-3-Heptene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688552843333333,0,0,0,0
"1-Butanamine, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.5442917684,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3100283952,0,0,0
"1-Butanol, 2,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00916948513333333,0,0
"1-Butanol, 3-methyl-",0.00581026286666667,0,0,0,0.0592388592,0.0804138236666667,0.0974437067666667,0.8823299074,0,1.19107075733333,0,0.592732951933333,1.53956484706667,0,0.402389170533333,0,0.358870475166667,0.828401545,0.173326635766667,0.6120716442,0.160154002066667,0.159522739566667
"1-Butene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810941802333333,0,0,0,0,0,0,0
"1-Butene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547831149333333,0,0,0
"1-Decanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124667484666667,0,0,0,0,0
"1-Decene",0,0,0,0,0,0,0,0,0,0,0,0.00642145503333333,0,0,0,0,0,0,0,0,0,0
"1-Decene, 9-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095055236,0,0,0
"1-Ethylcyclopentene",0,0,0,0,0,0,0,0.0011853563,0,0,0,0,0,0.00149111866666667,0.00301086606666667,0.0030395553,0.00251798943333333,0,0,0.0130097260333333,0,0
"1-Heptadecanamine",0,0,0,0,0,0.002655029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol",0.0045681975,0.00610045426666667,0,0,0.0061348839,0,0,0,0,0,0,0,0,0,0.0515465197666667,0,0,0,0,0,0,0
"1-Hexanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0.162888605233333,0,0,0.594308334233333,0,0,0,0.117894567266667,0,0,0,0,0
"1-Hexene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015650822,0,0,0,0,0,0
"1-Methyldodecylamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277303108666667,0,0,0,0,0,0,0,0
"1-Nonanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108502335666667,0,0,0,0,0,0
"1-Nonene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195891588,0,0,0,0,0,0,0
"1-Octanol",0,0,0,0,0,0,0.00763679523333333,0,0.0413806445666667,0,0.0365140043,0,0.0696067298666667,0,0.0257277087,0.0313538207666667,0,0.260855748666667,0.0464402941333333,0.127050414333333,0,0
"1-Octanol, 3,7-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418148683333333,0,0,0,0,0
"1-Octen-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176954048333333,0.0228745516666667,0,0,0,0,0,0,0
"1-Octene",0,0,0,0,0.0269647639666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octene, 3,7-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077230131,0,0,0,0,0
"1-Pentanol",0,0.00473513026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentanol, 4-methyl-",0,0,0,0,0,0,0.00398736973333333,0.0625147214666667,0.0213148753,0.0214761946,0.0179414658333333,0.00601327166666667,0.0174499629666667,0.00333561076666667,0.0068161516,0,0.00607395533333333,0.012221143,0,0,0,0
"1-Pentanol, 4-methyl-2-propyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176013386666667,0
"1-Penten-3-one",0,0,0,0.0063969954,0,0,0,0,0,0,0.0055297686,0,0,0.00626543876666667,0.0081405834,0,0,0,0,0,0,0
"1-Pentene, 2,4-dimethyl-",0,0.00792355603333333,0,0.00204447123333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202986526666667
"1-Pentene, 2,4,4-trimethyl-",0.0259019641333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propanesulfonyl chloride",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296200975733333,0,0.888558522366667,0,0,0
"1-Propanol",0,0,0,0.0856450693333333,0,0.137032272333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313536027233333,0,0
"1-Propanol, 2-methyl-",0,0.00581155713333333,0,0,0.0390337291333333,0.0823597673333333,0.221702656966667,0,0,0,0,0.3683253415,0.803258934466667,0.0914623336666667,0,0.1543962777,0.131801085266667,0,0.0658010999666667,0.1315718995,0.0570116225666667,0.0595649185333333
