"Name","D1d0","D1d1","D1d2","D1d4","D1d5","D1d6","D1d7","D1d8","D1d9","D1d10","D1d11","D1d12","D1d13","D1d14","D1d15","D1d16","D1d17","D1d18","D1d21","D1d26","D1d28","D1d30","D1d32","D1d35","D1d42","D1d49","D1d56","D1d65","D1d74","D1d81","D1d87","D2d0","D2d1","D2d2","D2d4","D2d5","D2d6","D2d7","D2d8","D2d9","D2d10","D2d11","D2d12","D2d13","D2d14","D2d15","D2d16","D2d17","D2d18","D2d21","D2d26","D2d28","D2d30","D2d32","D2d35","D2d42","D2d49","D2d57","D2d65","D2d74","D2d81","D2d87","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38","D4d0","D4d1","D4d3","D4d4","D4d7","D4d9","D4d12","D4d31","D6d0","D6d1","D6d2","D6d3","D6d4","D6d5","D6d6","D6d7","D6d8","D6d9","D6d10","D6d11","D6d13","D6d15","D6d17","D6d20","D6d22","D6d24","D6d27","D6d29","D6d45","D6d51","D6d59","D6d66","D6d73","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34","D11d0","D11d1","D11d2","D11d3","D11d6","D11d8","D11d10","D11d14","D11d17","D11d20","D11d24","D11d27","D11d30"
"Ethanol",10.3413837776667,0,0,0,0,0,0,4.0999878793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8343454138,0,0,1.33594761623333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetone",6.43580759833333,0,0,0,0,0,0,0,0,0,4.162408214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40429993853333,0,0,0,0,0,0,0,1.5424638041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02390402543333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11862208645,0,0,0,0,0,0,0,0,0,0
"Isobutane",0.012618371,0,0,0,0.0043328286,0,0.0132371095,0,0,0,0,0,0.691629092266667,0,0,0,0,0.0118078443333333,0,0,0,0,0,0,0,0,0,0,0,0.0175811279333333,0,0,0,0,0,0,0.00608172486666667,0,0,0.03092909875,0,0,0,0,0.0158476405333333,0.0103638582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109462162,0,0,0,0,0,0,0,0,0,0,0,0.00995516946666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243444976666667,0,0,0,0,0.0277257525333333,0,0.105193797666667,0.0161342866666667,0,0.00371791273333333,0,0,0,0.0169213608666667,0.129633939,0.01930371,0.0056705978,0,0,0.00849163133333333,0,0,0,0,0,0.00340715666666667,0,0,0,0,0,0,0,0.00620035763333333,0.0131633475666667,0,0,0,0.0614663685,0,0,0.0198020099666667,0,0.0221867444,0,0.0298821158666667,0,0,0.0177666440666667,0,0,0.0048169299,0,0,0,0,0,0.0494562897,0.0023682478,0,0.05846655925,0,0.0192107568,0,0.0135174028666667,0,0,0,0.0517084488666667,0,0.0207072850333333
"1,1,1,4,4,4-Hexafluorobut-2-ene",0.0190063453333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323653213333333,0,0,0,0,0,0,0,0,0.0100691091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159966654,0,0.0110081522,0,0,0.0036533695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199196598,0,0,0,0,0,0,0,0,0.0221430486666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104942541333333,0,0,0,0,0,0,0,0.00669894793333333,0,0,0,0,0,0,0.0146343835333333,0,0,0.01793294345,0.0280251893333333,0,0,0,0,0,0,0.00864509206666667,0,0
"2-Butene, 2-methyl-",0.059103097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531044596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4166485328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylal",0.0463781473333333,0,0,0,0,0,0.030922762,0,0.019432333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265653313333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801819624833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692939403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethyl formate",0.059843771,0.0219883296666667,0,0,0,0.0205511131666667,0.13656664,0.1488838604,0,0.202542519333333,0.224161746333333,0.123480792333333,0,0,0,0,0.119422751666667,0.070204194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643051396666667,0.00817169066666667,0.00442662476666667,0,0,0,0.0389328810666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045949429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250128565,0,0,0,0,0,0,0,0,0,0,0,0,0.00513614146666667,0,0,0,0,0,0,0,0,0,0,0,0.0290307308666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143371027433333,0,0,0,0,0,0,0,0,0,0.0141794076,0,0,0,0,0,0.0440447255333333,0,0,0,0,0,0,0,0,0,0,0,0
"Acetonitrile",0.0465296423333333,0,0,0,0,0,0.089715445,0,0.1364475115,0.246686654333333,0,0.199810465666667,0,0,0.871637315,0,0,0,0,0,1.70432100553333,0,0,0,0,0,0,0,0,0,0,0.0583761603333333,0,0,0,0,0,0,0.5295531602,0,0,0,0,0,0.167171293333333,0.1267650216,0,0,0,0,0,0,0,0,0,0,0,0.975617324233333,0,0,0,0,0.0125446883666667,0,0,0,0,0,0,0.711163077266667,0,0,0,0,0,0,0,0,0,0.4516525242,0,0,0,0,0,0.181189015333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252865341,0,0.143902460133333,0,0,0,0.163752396333333,0.355006802166667,0,0,0,0,0,0,1.31419036466667,0,0.0858134483666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylene chloride",0.157722694333333,0,0,0,0,0.00821351586666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419779053333333,0,0,0,0,0,0,0,0.0236061695666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098962439,0,0,0.00334865406666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176165183333333,0,0,0.0131922109666667,0,0.0368724864333333,0,0,0,0,0,0.0126306496333333,0,0.0174640224,0.0245874569666667,0,0,0,0,0.0149181433333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306546963333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propen-1-ol",0.00880016166666667,0,0.00339834163333333,0,0,0.0318541186,0.110053135,0,0,0,0.0228123743333333,0,0.0663290207333333,0.579216309666667,0,0,1.07152009533333,0.269036706333333,0.0535236855,0,0,0,0,0.0112525297,0,0,0,0,0,0,0,0,0,0,0,0,0.00455848586666667,0.0180364919666667,0,0.10606719035,0.0338817526,0,0,0,0,0,0,0.057319965,0.0227279696,0.0173447104,0,0,0,0,0,0,0,0.0018068598,0,0,0,0,0,0,0,0,0,0,0,0.00538554806666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904202946666667,0.0039110809,0,0,0,0,0.1106129702,0.311432550433333,0.486523036233333,0.105558927666667,0,0,0,0,0,0,0,0,0.0065257844,0,0,0,0,0.0162481844,0,0.138477710366667,0,0,0.0174065336333333,0,0,0,0,0,0,0,0,0.0174555740333333,0,0.0331885307,0,0,0,0,0,0.0560983871,0,0,0,0,0,0.0065304001,0,0,0,0,0.00249865973333333,0,0,0,0,0,0.00250550696666667,0,0,0,0,0
